deal_name,deal_stage,amount,deal_owner,close_date,priority
Website Revamp Atlas Corp,Presentation Scheduled,12500,naifa Smith,2025-04-08,High
Mobile App for FitBuddy,Qualified to Buy,25000,aalam mohannad,2025-04-08,High
HR Software License ZenoHR,Contract Sent,18750,naifa Smith,2025-04-08,Medium
CRM Onboarding NexTech,Closed Won,32000,aalam mohannad,2025-04-08,High
Marketing Suite QuickAdz,Appointment Scheduled,14800,naifa Smith,2025-04-08,Low
Inventory Tool GreenMart,Decision Maker Bought In,9300,aalam mohannad,2025-04-08,Medium
ERP Integration BlueChip,Qualified to Buy,41000,naifa Smith,2025-04-09,High
Loyalty Program FoodleFox,Closed Lost,11000,aalam mohannad,2025-04-09,Low
Cloud Migration TechNova,Contract Sent,28000,naifa Smith,2025-04-09,High
AI Dashboard SmartCorp,Presentation Scheduled,19500,aalam mohannad,2025-04-09,Medium
SEO Package GrowthHub,Closed Won,7800,naifa Smith,2025-04-09,Low
Data Analytics InfoPeak,Qualified to Buy,33000,aalam mohannad,2025-04-09,High
Payment Gateway PayEase,Appointment Scheduled,15200,naifa Smith,2025-04-10,Medium
Chatbot Setup BotWave,Decision Maker Bought In,8900,aalam mohannad,2025-04-10,Low
CRM Training LearnSoft,Contract Sent,22000,naifa Smith,2025-04-10,Medium
Email Marketing MailPro,Closed Won,17500,aalam mohannad,2025-04-10,High
Social Media BrandBoost,Presentation Scheduled,12000,naifa Smith,2025-04-10,Medium
IT Support TechCare,Closed Lost,9500,aalam mohannad,2025-04-10,Low